tile_id,quadkey,lat,lon,carrier,download_mbps,upload_mbps,latency_ms,tests,devices,distance_m,inside_stadium,section,nearest_das,das_distance_m,signal_quality
TILE_00068,032023116898739,40.81,-74.0716735,AT&T,42.52,17.84,51.7,31,10,474.9,False,Exterior,DAS-S1,307.9,52.5
TILE_00069,032023134546527,40.81,-74.0714286,AT&T,63.05,2.0,53.7,20,7,484.9,False,Exterior,DAS-S1,322.5,51.5
TILE_00070,032023175066142,40.81,-74.0714286,T-Mobile,132.81,7.9,39.3,9,9,484.9,False,Exterior,DAS-S1,322.5,51.5
TILE_00071,032023195646361,40.81,-74.0711837,Verizon,48.75,7.49,38.6,24,10,495.6,False,Exterior,DAS-S1,337.8,50.4
TILE_00072,032023151872929,40.81,-74.0711837,T-Mobile,54.01,2.31,33.7,11,5,495.6,False,Exterior,DAS-S1,337.8,50.4
TILE_00073,032023177298507,40.81,-74.0709388,Verizon,70.18,9.45,45.3,37,25,506.9,False,Exterior,DAS-S1,353.6,49.3
TILE_00074,032023159895824,40.81,-74.0709388,AT&T,13.14,12.39,59.4,39,29,506.9,False,Exterior,DAS-S1,353.6,49.3
TILE_00075,032023122215821,40.81,-74.0709388,T-Mobile,87.4,22.38,35.8,40,20,506.9,False,Exterior,DAS-S1,353.6,49.3
TILE_00076,032023141164163,40.81,-74.0706939,Verizon,156.64,20.16,49.5,45,20,518.8,False,Exterior,DAS-S1,369.9,48.1
TILE_00077,032023136776800,40.81,-74.0706939,T-Mobile,25.52,16.43,40.7,30,17,518.8,False,Exterior,DAS-S1,369.9,48.1
TILE_00078,032023146306475,40.81,-74.0706939,US Cellular,70.83,6.75,82.6,9,2,518.8,False,Exterior,DAS-S1,369.9,48.1
TILE_00079,032023165681489,40.81,-74.070449,Verizon,101.74,6.63,43.6,93,20,531.2,False,Exterior,DAS-S1,386.6,46.9
TILE_00080,032023150547449,40.81,-74.070449,AT&T,88.53,14.21,62.5,74,33,531.2,False,Exterior,DAS-S1,386.6,46.9
TILE_00081,032023124702693,40.81,-74.070449,T-Mobile,85.12,27.38,31.1,65,32,531.2,False,Exterior,DAS-S1,386.6,46.9
TILE_00082,032023166964565,40.81,-74.0702041,Verizon,58.44,12.7,52.5,12,9,544.1,False,Exterior,DAS-S1,403.7,45.6
TILE_00083,032023189136575,40.81,-74.0702041,AT&T,84.76,2.82,67.0,19,6,544.1,False,Exterior,DAS-S1,403.7,45.6
TILE_00084,032023165163955,40.81,-74.0702041,T-Mobile,167.54,33.81,41.2,17,7,544.1,False,Exterior,DAS-S1,403.7,45.6
TILE_00085,032023156842471,40.81,-74.0699592,Verizon,165.91,16.28,51.6,56,14,557.5,False,Exterior,DAS-S1,421.1,44.3
TILE_00086,032023165756967,40.81,-74.0699592,AT&T,69.01,4.64,61.9,44,23,557.5,False,Exterior,DAS-S1,421.1,44.3
TILE_00087,032023153677411,40.81,-74.0699592,T-Mobile,92.5,11.79,40.8,42,23,557.5,False,Exterior,DAS-S1,421.1,44.3
TILE_00088,032023178829987,40.81,-74.0697143,T-Mobile,10.0,25.09,33.4,36,16,571.3,False,Exterior,DAS-E1,431.8,42.9
TILE_00089,032023116905708,40.81,-74.0694694,Verizon,82.41,11.33,52.5,51,32,585.5,False,Exterior,DAS-E1,436.7,41.4
TILE_00090,032023124736372,40.81,-74.0694694,AT&T,40.66,13.46,70.4,63,29,585.5,False,Exterior,DAS-E1,436.7,41.4
TILE_00091,032023144783655,40.81,-74.0694694,T-Mobile,122.49,7.87,48.8,35,28,585.5,False,Exterior,DAS-E1,436.7,41.4
TILE_00092,032023128192592,40.8101531,-74.0795102,AT&T,23.94,9.71,63.5,29,11,595.4,False,Exterior,DAS-S2,374.3,40.5
TILE_00093,032023135753999,40.8101531,-74.0795102,T-Mobile,117.99,4.7,49.8,27,15,595.4,False,Exterior,DAS-S2,374.3,40.5
TILE_00094,032023176243999,40.8101531,-74.0792653,T-Mobile,10.0,2.0,41.7,31,17,580.4,False,Exterior,DAS-S2,357.2,42.0
TILE_00095,032023161231094,40.8101531,-74.0790204,AT&T,68.73,16.82,65.1,18,9,565.7,False,Exterior,DAS-S2,340.4,43.4
TILE_00096,032023182024342,40.8101531,-74.0790204,T-Mobile,117.64,4.72,39.6,25,10,565.7,False,Exterior,DAS-S2,340.4,43.4
TILE_00097,032023161331374,40.8101531,-74.0787755,AT&T,35.56,7.62,62.7,54,22,551.4,False,Exterior,DAS-S2,324.2,44.9
TILE_00098,032023183150726,40.8101531,-74.0787755,T-Mobile,53.44,20.13,43.3,34,23,551.4,False,Exterior,DAS-S2,324.2,44.9
TILE_00099,032023188533695,40.8101531,-74.0787755,US Cellular,10.0,2.0,73.7,11,7,551.4,False,Exterior,DAS-S2,324.2,44.9
TILE_00100,032023154885127,40.8101531,-74.0785306,Verizon,58.22,11.1,47.9,24,16,537.5,False,Exterior,DAS-S2,308.5,46.3
TILE_00101,032023124115393,40.8101531,-74.0785306,T-Mobile,34.48,12.5,35.1,21,8,537.5,False,Exterior,DAS-S2,308.5,46.3
TILE_00102,032023127540447,40.8101531,-74.0782857,Verizon,127.75,9.58,42.4,53,13,524.0,False,Exterior,DAS-S2,293.4,47.6
TILE_00103,032023176618537,40.8101531,-74.0782857,AT&T,93.45,5.56,49.9,41,18,524.0,False,Exterior,DAS-S2,293.4,47.6
TILE_00104,032023120181729,40.8101531,-74.0782857,T-Mobile,73.31,9.01,31.4,41,9,524.0,False,Exterior,DAS-S2,293.4,47.6
TILE_00105,032023189551299,40.8101531,-74.0780408,T-Mobile,107.77,18.26,37.5,24,11,511.0,False,Exterior,DAS-S2,279.0,48.9
TILE_00106,032023185261281,40.8101531,-74.0777959,Verizon,179.82,8.36,31.7,60,28,498.6,False,Exterior,DAS-S2,265.4,50.1
TILE_00107,032023126135409,40.8101531,-74.0777959,AT&T,52.91,6.61,57.6,20,20,498.6,False,Exterior,DAS-S2,265.4,50.1
TILE_00108,032023110428135,40.8101531,-74.0777959,T-Mobile,144.35,19.08,25.5,37,12,498.6,False,Exterior,DAS-S2,265.4,50.1
TILE_00109,032023167927429,40.8101531,-74.077551,Verizon,74.05,10.34,35.8,33,22,486.6,False,Exterior,DAS-S2,252.8,51.3
TILE_00110,032023157013406,40.8101531,-74.077551,AT&T,101.84,7.44,49.7,33,15,486.6,False,Exterior,DAS-S2,252.8,51.3
TILE_00111,032023110601845,40.8101531,-74.077551,T-Mobile,94.13,7.61,35.1,26,17,486.6,False,Exterior,DAS-S2,252.8,51.3
TILE_00112,032023155226148,40.8101531,-74.077551,US Cellular,69.12,6.35,62.6,5,5,486.6,False,Exterior,DAS-S2,252.8,51.3
TILE_00113,032023168904578,40.8101531,-74.0773061,Verizon,38.85,14.51,37.6,49,24,475.3,False,Exterior,DAS-S2,241.3,52.5
TILE_00114,032023144412146,40.8101531,-74.0773061,AT&T,66.52,5.59,51.0,40,16,475.3,False,Exterior,DAS-S2,241.3,52.5
TILE_00115,032023146208001,40.8101531,-74.0773061,T-Mobile,155.99,10.78,34.0,25,14,475.3,False,Exterior,DAS-S2,241.3,52.5
TILE_00116,032023182703002,40.8101531,-74.0773061,US Cellular,25.37,5.2,64.6,8,3,475.3,False,Exterior,DAS-S2,241.3,52.5
TILE_00117,032023187251622,40.8101531,-74.0770612,AT&T,65.12,9.52,46.8,54,30,464.7,False,Exterior,DAS-S2,231.1,53.5
TILE_00118,032023176503153,40.8101531,-74.0770612,US Cellular,45.3,15.09,60.9,14,6,464.7,False,Exterior,DAS-S2,231.1,53.5
TILE_00119,032023126603676,40.8101531,-74.0768163,AT&T,108.58,23.57,50.2,37,19,454.7,False,Exterior,DAS-S2,222.3,54.5
TILE_00120,032023119633786,40.8101531,-74.0765714,AT&T,130.63,3.3,56.7,36,22,445.5,False,Exterior,DAS-S2,215.2,55.5
TILE_00121,032023121014743,40.8101531,-74.0765714,T-Mobile,121.06,31.65,28.0,61,26,445.5,False,Exterior,DAS-S2,215.2,55.5
TILE_00122,032023121795326,40.8101531,-74.0763265,US Cellular,60.26,2.71,60.5,9,5,437.0,False,Exterior,DAS-S2,209.9,56.3
TILE_00123,032023166573514,40.8101531,-74.0760816,AT&T,25.12,10.91,44.8,29,9,429.4,False,Exterior,DAS-S2,206.5,57.1
TILE_00124,032023110574183,40.8101531,-74.0758367,Verizon,75.8,21.05,26.2,10,3,422.7,False,Exterior,DAS-S2,205.1,57.7
TILE_00125,032023186218063,40.8101531,-74.0758367,AT&T,53.42,5.9,50.4,11,6,422.7,False,Exterior,DAS-S2,205.1,57.7
TILE_00126,032023175016655,40.8101531,-74.0758367,T-Mobile,172.35,17.68,28.7,11,4,422.7,False,Exterior,DAS-S2,205.1,57.7
TILE_00127,032023143132645,40.8101531,-74.0755918,Verizon,149.94,17.98,37.6,62,19,416.8,False,Exterior,DAS-S2,205.9,58.3
TILE_00128,032023132427084,40.8101531,-74.0755918,AT&T,126.78,12.23,44.9,62,29,416.8,False,Exterior,DAS-S2,205.9,58.3
TILE_00129,032023118891325,40.8101531,-74.0755918,T-Mobile,179.31,23.77,27.5,35,16,416.8,False,Exterior,DAS-S2,205.9,58.3
TILE_00130,032023122311704,40.8101531,-74.0753469,Verizon,63.43,13.77,38.7,55,40,411.9,False,Exterior,DAS-S2,208.6,58.8
TILE_00131,032023180743149,40.8101531,-74.0753469,AT&T,77.8,8.42,47.9,59,18,411.9,False,Exterior,DAS-S2,208.6,58.8
TILE_00132,032023167553722,40.8101531,-74.0753469,T-Mobile,203.75,24.18,33.3,35,26,411.9,False,Exterior,DAS-S2,208.6,58.8
TILE_00133,032023148910217,40.8101531,-74.075102,Verizon,102.84,18.2,37.3,73,35,408.1,False,Exterior,DAS-S2,213.4,59.2
TILE_00134,032023114250839,40.8101531,-74.075102,AT&T,113.93,10.8,50.3,72,22,408.1,False,Exterior,DAS-S2,213.4,59.2
TILE_00135,032023173899403,40.8101531,-74.075102,T-Mobile,123.53,28.25,24.0,50,22,408.1,False,Exterior,DAS-S2,213.4,59.2
TILE_00136,032023198017323,40.8101531,-74.0748571,Verizon,92.85,30.18,45.7,25,11,405.2,False,Exterior,DAS-S1,212.5,59.5
TILE_00137,032023140187458,40.8101531,-74.0746122,Verizon,211.33,18.82,35.5,29,15,403.4,False,Exterior,DAS-S1,208.0,59.7
TILE_00138,032023131479845,40.8101531,-74.0743673,Verizon,142.53,10.89,42.1,45,19,402.6,False,Exterior,DAS-S1,205.6,59.7
TILE_00139,032023129361182,40.8101531,-74.0743673,AT&T,54.58,16.58,38.6,31,13,402.6,False,Exterior,DAS-S1,205.6,59.7
TILE_00140,032023148535151,40.8101531,-74.0741224,Verizon,108.78,29.26,27.8,51,44,402.9,False,Exterior,DAS-S1,205.2,59.7
TILE_00141,032023138425228,40.8101531,-74.0741224,T-Mobile,139.05,15.97,38.2,67,23,402.9,False,Exterior,DAS-S1,205.2,59.7
TILE_00142,032023194115676,40.8101531,-74.0738776,Verizon,33.31,3.89,48.8,13,12,404.2,False,Exterior,DAS-S1,206.9,59.6
TILE_00143,032023141434968,40.8101531,-74.0738776,T-Mobile,96.59,19.48,28.2,20,9,404.2,False,Exterior,DAS-S1,206.9,59.6
TILE_00144,032023110553082,40.8101531,-74.0738776,US Cellular,74.71,6.97,57.5,4,1,404.2,False,Exterior,DAS-S1,206.9,59.6
TILE_00145,032023127021500,40.8101531,-74.0736327,Verizon,68.59,16.36,39.4,49,24,406.6,False,Exterior,DAS-S1,210.6,59.3
TILE_00146,032023174084350,40.8101531,-74.0736327,T-Mobile,175.3,26.51,32.1,33,14,406.6,False,Exterior,DAS-S1,210.6,59.3
TILE_00147,032023144969434,40.8101531,-74.0736327,US Cellular,57.57,15.75,52.5,13,4,406.6,False,Exterior,DAS-S1,210.6,59.3
TILE_00148,032023113640819,40.8101531,-74.0733878,Verizon,84.14,10.91,33.2,55,47,410.0,False,Exterior,DAS-S1,216.2,59.0
TILE_00149,032023184150783,40.8101531,-74.0733878,AT&T,96.61,10.2,50.5,53,18,410.0,False,Exterior,DAS-S1,216.2,59.0
TILE_00150,032023121911346,40.8101531,-74.0731429,Verizon,61.19,15.44,44.6,42,27,414.4,False,Exterior,DAS-S1,223.7,58.6
TILE_00151,032023127344756,40.8101531,-74.0731429,AT&T,55.81,8.47,49.1,74,25,414.4,False,Exterior,DAS-S1,223.7,58.6
TILE_00152,032023131416517,40.8101531,-74.0731429,T-Mobile,81.74,13.72,27.9,46,21,414.4,False,Exterior,DAS-S1,223.7,58.6
TILE_00153,032023147243083,40.8101531,-74.072898,Verizon,93.0,7.79,52.5,4,2,419.8,False,Exterior,DAS-S1,232.7,58.0
TILE_00154,032023143647685,40.8101531,-74.072898,AT&T,52.23,10.02,57.2,8,2,419.8,False,Exterior,DAS-S1,232.7,58.0
TILE_00155,032023199971584,40.8101531,-74.0726531,T-Mobile,116.47,20.86,21.5,53,17,426.1,False,Exterior,DAS-S1,243.1,57.4
TILE_00156,032023154185817,40.8101531,-74.0726531,US Cellular,76.49,10.98,60.9,7,7,426.1,False,Exterior,DAS-S1,243.1,57.4
TILE_00157,032023136307761,40.8101531,-74.0724082,T-Mobile,63.48,14.47,31.3,7,4,433.4,False,Exterior,DAS-S1,254.8,56.7
TILE_00158,032023114111451,40.8101531,-74.0721633,Verizon,139.74,16.13,28.5,30,8,441.4,False,Exterior,DAS-S1,267.6,55.9
TILE_00159,032023195445396,40.8101531,-74.0721633,T-Mobile,31.27,13.62,37.4,23,10,441.4,False,Exterior,DAS-S1,267.6,55.9
TILE_00160,032023154697948,40.8101531,-74.0716735,Verizon,28.57,12.72,38.7,30,13,459.9,False,Exterior,DAS-S1,295.8,54.0
TILE_00161,032023196145144,40.8101531,-74.0716735,AT&T,71.07,16.4,57.3,28,25,459.9,False,Exterior,DAS-S1,295.8,54.0
TILE_00162,032023116513748,40.8101531,-74.0714286,Verizon,99.73,2.0,46.2,72,37,470.3,False,Exterior,DAS-S1,311.0,53.0
TILE_00163,032023133115330,40.8101531,-74.0714286,AT&T,119.39,5.35,48.4,29,19,470.3,False,Exterior,DAS-S1,311.0,53.0
TILE_00164,032023143603982,40.8101531,-74.0714286,T-Mobile,176.76,9.57,39.1,39,29,470.3,False,Exterior,DAS-S1,311.0,53.0
TILE_00165,032023169960840,40.8101531,-74.0711837,Verizon,107.82,19.2,42.6,48,24,481.3,False,Exterior,DAS-S1,326.9,51.9
TILE_00166,032023125970609,40.8101531,-74.0711837,AT&T,103.39,2.0,49.2,56,14,481.3,False,Exterior,DAS-S1,326.9,51.9
TILE_00167,032023195440450,40.8101531,-74.0709388,Verizon,54.58,7.49,42.9,18,15,492.9,False,Exterior,DAS-S1,343.2,50.7
TILE_00168,032023117512796,40.8101531,-74.0709388,AT&T,91.71,13.84,47.8,20,6,492.9,False,Exterior,DAS-S1,343.2,50.7
TILE_00169,032023135805055,40.8101531,-74.0706939,Verizon,93.8,7.54,39.7,39,18,505.1,False,Exterior,DAS-S1,360.0,49.5
TILE_00170,032023193723285,40.8101531,-74.0706939,AT&T,122.2,7.78,57.2,38,15,505.1,False,Exterior,DAS-S1,360.0,49.5
TILE_00171,032023117703251,40.8101531,-74.0706939,T-Mobile,55.86,22.99,33.7,13,11,505.1,False,Exterior,DAS-S1,360.0,49.5
TILE_00172,032023183301832,40.8101531,-74.070449,Verizon,57.35,6.24,49.5,30,29,517.9,False,Exterior,DAS-S1,377.1,48.2
TILE_00173,032023183459613,40.8101531,-74.0699592,Verizon,144.4,16.45,39.8,27,11,544.8,False,Exterior,DAS-E1,411.2,45.5
TILE_00174,032023169040240,40.8101531,-74.0699592,US Cellular,36.21,19.04,78.7,6,3,544.8,False,Exterior,DAS-E1,411.2,45.5
TILE_00175,032023189045233,40.8101531,-74.0697143,Verizon,64.7,12.45,43.8,57,45,558.9,False,Exterior,DAS-E1,415.2,44.1
TILE_00176,032023110589627,40.8101531,-74.0697143,T-Mobile,77.77,8.28,39.1,27,27,558.9,False,Exterior,DAS-E1,415.2,44.1
TILE_00177,032023199119833,40.8101531,-74.0694694,Verizon,98.61,18.74,46.7,37,13,573.5,False,Exterior,DAS-E1,420.3,42.7
TILE_00178,032023163812850,40.8101531,-74.0694694,AT&T,15.0,10.88,67.1,28,14,573.5,False,Exterior,DAS-E1,420.3,42.7
TILE_00179,032023195712297,40.8101531,-74.0692245,Verizon,95.82,2.0,57.1,22,10,588.4,False,Exterior,DAS-E1,426.3,41.2
TILE_00180,032023137413756,40.8101531,-74.0692245,AT&T,40.69,13.42,70.5,28,16,588.4,False,Exterior,DAS-E1,426.3,41.2
TILE_00181,032023111205633,40.8101531,-74.0692245,T-Mobile,85.82,5.9,38.1,28,13,588.4,False,Exterior,DAS-E1,426.3,41.2
TILE_00182,032023158465623,40.8103061,-74.0797551,Verizon,44.12,2.04,56.1,6,2,599.8,False,Exterior,DAS-S2,383.1,40.0
TILE_00183,032023139861778,40.8103061,-74.0797551,AT&T,51.23,8.98,69.1,6,1,599.8,False,Exterior,DAS-S2,383.1,40.0
TILE_00184,032023145529886,40.8103061,-74.0795102,T-Mobile,86.73,14.58,42.9,40,9,584.1,False,Exterior,DAS-S2,365.2,41.6
TILE_00185,032023131222245,40.8103061,-74.0792653,T-Mobile,98.44,2.43,37.3,27,7,568.7,False,Exterior,DAS-S2,347.7,43.1
TILE_00186,032023196881671,40.8103061,-74.0790204,Verizon,53.52,2.0,57.0,44,19,553.7,False,Exterior,DAS-S2,330.5,44.6
TILE_00187,032023120021235,40.8103061,-74.0787755,Verizon,53.53,12.09,45.4,55,15,539.1,False,Exterior,DAS-S2,313.7,46.1
TILE_00188,032023123212486,40.8103061,-74.0785306,Verizon,54.63,3.47,48.6,52,27,524.8,False,Exterior,DAS-S2,297.4,47.5
TILE_00189,032023169063883,40.8103061,-74.0785306,AT&T,85.35,10.02,64.3,54,20,524.8,False,Exterior,DAS-S2,297.4,47.5
